"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"k_pedsql_fatigue_cognitief_3_recoded","integer",2312,0.286859962985811,6,76.6544117647059,75,75,NA,26.5216033771434,NA,0,100,100,-0.955676679212579,-9.38600505680259,0.110568246536755,0.543197067157892,NA,NA
"k_pedsql_fatigue_cognitief_4_recoded","integer",2312,0.286859962985811,6,75.3460207612457,75,75,NA,27.3186810563107,NA,0,100,100,-0.878608777779608,-8.62909665011945,-0.12444226208323,-0.611357002678285,NA,NA
"k_pedsql_fatigue_cognitief_5_recoded","integer",2312,0.286859962985811,6,77.3572664359862,75,75,NA,25.8637285128222,NA,0,100,100,-1.03031204214621,-10.1190227281018,0.419610720904467,2.06145362780576,NA,NA
"k_pedsql_fatigue_cognitief_6_recoded","integer",2312,0.286859962985811,6,74.5025951557093,75,75,NA,28.1068461536494,NA,0,100,100,-0.899591579258532,-8.83517542662505,-0.0849078861984673,-0.417133455636847,NA,NA
"k_pedsql_fatigue_slaap_1_recoded","integer",2312,0.286859962985811,6,57.8070934256055,50,50,NA,29.0970560165583,NA,0,100,100,-0.123795349185062,-1.21583355410221,-0.830080438638461,-4.07799955137808,NA,NA
"k_pedsql_fatigue_slaap_2_recoded","integer",2312,0.286859962985811,6,80.0713667820069,100,100,NA,26.9614628298132,NA,0,100,100,-1.36690809116433,-13.424839733898,1.13359435073749,5.5690955220373,NA,NA
"k_pedsql_fatigue_slaap_3_recoded","integer",2312,0.286859962985811,6,53.1358131487889,50,50,NA,32.7075164656345,NA,0,100,100,-0.11647859651318,-1.14397339567056,-1.09604470402696,-5.38462250555339,NA,NA
"k_pedsql_fatigue_slaap_4_recoded","integer",2312,0.286859962985811,6,63.3434256055363,75,75,NA,29.0171864505566,NA,0,100,100,-0.268503283094447,-2.63705626359853,-0.918265689709703,-4.51123396766737,NA,NA
"k_pedsql_fatigue_slaap_5_recoded","integer",2312,0.286859962985811,6,90.1384083044983,100,100,NA,19.4738861342423,NA,0,100,100,-2.26644208208254,-22.2594495670904,5.18246833233584,25.4603078816818,NA,NA
"k_pedsql_fatigue_slaap_6_recoded","integer",2312,0.286859962985811,6,76.0813148788927,75,75,NA,27.3093621384306,NA,0,100,100,-0.93771804439716,-9.20962758431924,-0.0462787930744253,-0.227357360336525,NA,NA
